"Family","Year","Rep","Status"
"27.002","2018",3,1
"27.002","2018",3,1
"27.002","2018",3,1
"27.002","2018",3,1
"27.002","2018",3,1
"27.002","2018",3,1
"27.002","2018",3,1
"27.002","2018",3,1
"27.002","2018",3,1
"27.002","2018",3,1
"27.002","2018",3,1
"27.002","2018",3,1
"27.002","2018",3,1
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,0
"27.002","2018",4,1
"27.002","2018",4,1
"27.002","2018",4,1
"27.002","2018",4,1
"27.002","2018",4,1
"27.002","2018",4,1
"27.002","2018",4,1
"27.002","2018",4,1
"27.002","2018",4,1
"27.002","2018",4,1
"27.002","2018",4,1
"27.002","2018",4,1
"27.002","2018",4,1
"27.002","2018",4,1
"27.002","2018",4,1
"27.002","2018",4,1
"27.002","2018",4,1
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,0
"27.003","2018",1,1
"27.003","2018",1,1
"27.003","2018",1,1
"27.003","2018",1,1
"27.003","2018",1,1
"27.003","2018",1,1
"27.003","2018",1,1
"27.003","2018",1,1
"27.003","2018",1,1
"27.003","2018",2,0
"27.003","2018",2,0
"27.003","2018",2,0
"27.003","2018",2,0
"27.003","2018",2,0
"27.003","2018",2,0
"27.003","2018",2,0
"27.003","2018",2,0
"27.003","2018",2,0
"27.003","2018",2,0
"27.003","2018",2,0
"27.003","2018",2,0
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",2,1
"27.003","2018",3,0
"27.003","2018",3,0
"27.003","2018",3,0
"27.003","2018",3,0
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",3,1
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,0
"27.003","2018",4,1
"27.003","2018",4,1
"27.003","2018",4,1
"27.003","2018",4,1
"27.003","2018",4,1
"27.003","2018",4,1
"27.003","2018",4,1
"27.003","2018",4,1
